entity_name,type,store_purpose,tin,rdo_code,vat_status
Bebang Enterprise Inc.,Corporation,Head Office,647-243-690-00000,041,VAT Registered
Bebang Kitchen Inc,Corporation,Commissary,010-880-681-00001,041,VAT Registered
Resto Tech Inc,Corporation,Head Office,655-821-050-00000,041,VAT Registered
Irresistible Infusions Inc,Corporation,Head Office,634-954-873-00000,041,VAT Registered
Bebang Shaw Inc,Corporation,Commissary,651-116-069-00000,041,VAT Registered
Bebang Enterprise Inc.,Corporation,SM Megamall,647-243-690-00001,041,VAT Registered
Bebang Market Market Inc.,Corporation,Ayala Market! Market!,656-572-595-00001,044,VAT Registered
Bebang Enterprise Inc.,Corporation,SM Manila,647-243-690-00002,033,VAT Registered
Bebang Enterprise Inc.,Corporation,SM Southmall,647-243-690-00004,53A,VAT Registered
Bebang FTE Inc.,Corporation,Ayala Fairview Terraces,663-440-106-00001,028,VAT Registered
Bebang North Edsa Inc.,Corporation,SM North EDSA,663-447-579-00001,038,VAT Registered
Bebang SMV Inc.,Corporation,SM Valenzuela,665-313-198-00001,024,VAT Registered
Bebang LCT Inc,Corporation,Lucky China Town,665-462-689-00001,030,VAT Registered
Bebang Enterprise Inc.,Corporation,Robinsons Place Antipolo,647-243-690-00005,045,VAT Registered
Bebang Starmall Alabang Inc.,Corporation,The Terminal Exchange,670-277-140-00001,53B,VAT Registered
Bebang Grand Central Inc.,Corporation,SM Grand Central,010-880-753-00001,027,VAT Registered
Bebang SM Marikina Inc.,Corporation,SM Marikina,670-282-332-00001,045,VAT Registered
Bebang Paseo Inc,Corporation,Paseo Center,010-880-720-00001,050,VAT Registered
Bebang PITX Inc,Corporation,PITX Terminal,010-880-712-00001,052,VAT Registered
Bebang SMEO Inc,Corporation,SM East Ortigas,665-312-808-00001,043,VAT Registered
Bebang Venice Grand Canal Inc.,Corporation,Venice Grand Canal,010-880-690-00001,044,VAT Registered
Bebang Festival Inc.,Corporation,Festival Mall Alabang,672-618-586-00001,53B,VAT Registered
Bebang SMOA Inc.,Corporation,SM Mall of Asia,665-459-236-00001,051,VAT Registered
Bebang BF Homes Inc.,Corporation,BF Homes Paranaque (Aguirre Ave.),673-762-767-00000,052,VAT Registered
JL TRADE OPC,Corporation,SM San Jose Del Monte,775-842-763-00003,25B,VAT Registered
Bebang Mega Inc,Corporation,SM Tanza,010-885-436-00001,054B,VAT Registered
Tungsten Capital Holdings OPC,Corporation,SM Sangandaan,679-843-234-00001,027,VAT Registered
Bebang Marilao Inc,Corporation,SM Marilao,675-267-457-00001,025B,VAT Registered
Bebang SM Bicutan Inc.,Corporation,SM Bicutan,010-887-661-00001,052,VAT Registered
TAJ Food Corp,Corporation,SM Caloocan,681-325-053-00001,027,VAT Registered
Bebang Mega Inc,Corporation,Robinsons Place Imus,010-885-436-00002,54A,VAT Registered
Bebang UP Town Center Inc.,Corporation,Ayala UP Town Center,675-270-405-00001,039,VAT Registered
Bebang Mega Inc,Corporation,Ayala Evo City,010-885-436-00004,54B,VAT Registered
Bebang Mega Inc,Corporation,Ayala Vermosa,010-885-436-00005,54A,VAT Registered
Bebang Mega Inc,Corporation,Robinsons Place Gen. Trias,010-885-436-00003,54B,VAT Registered
Bebang SMM Inc.,Corporation,SM Center Pulilan,662-567-267-00001,25A,VAT Registered
HFFM Solenad Food Services Inc.,Corporation,Ayala Solenad 2,681-476-808-00001,057,VAT Registered
Bebang SM Marikina Inc.,Corporation,Sta. Lucia East Grand Mall,670-282-332-00002,046,VAT Registered
Tungsten Capital Holdings OPC,Corporation,Robinsons Galleria South,679-843-234-00002,057,VAT Registered
Halo-Halo Terminal Food Corp.,Corporation,NAIA T3 (Departure),690-528-808-00000,051,VAT Registered
DMD Holdings Inc,Corporation,Uptown Mall,649-154-841-00001,044,VAT Registered
Red Taldawa Foods OPC,Corporation,SM Clark,687-525-727-00007,21A,VAT Registered
B Cubed Ventures Corp.,Corporation,Tomas Morato (CTTM Square),682-574-745-00001,039,VAT Registered
Tricern Food Corp.,Corporation,Vista Mall Taguig,010-038-108-00005,044,VAT Registered
Tungsten Capital Holdings OPC,Corporation,Food Express (Gateway Mall),679-843-234-00003,040,VAT Registered
Freeze Delight Inc.,Corporation,Robinsons Place Dasmarinas,697-636-476-00001,54A,VAT Registered
Day Ones Food and Drink Establishments Corp.,Corporation,SM Taytay,010-939-944-00001,046,VAT Registered
TAJ Food Corp,Corporation,D'Verde Calamba,681-325-053-00002,056,VAT Registered
BEIFranchise Food OPC,Corporation,Ortigas Greenhills,688-721-280-00001,042,VAT Registered
BB Estancia Food Corp.,Corporation,Ortigas Estancia,693-136-289-00001,043,VAT Registered
Sweet Harmony Food Corp,Corporation,SM Sta. Rosa,691-378-334-00000,057,VAT Registered
DLS Dessert Craft Inc.,Corporation,Ever Gotesco Commonwealth,671-219-097-00001,028,VAT Registered
Tastecartel Corp.,Corporation,The Grid,672-270-879-00001,049,VAT Registered
Perpetual Food Corp,Corporation,Xetromall Montalban,698-838-619-00000,045,VAT Registered
