warehouse_name,warehouse_record_name,company,location_id
Araneta Gateway,Araneta Gateway - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2557
Ayala Evo,Ayala Evo - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2426
Ayala Malls Fairview Terraces,Ayala Malls Fairview Terraces - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2220
Ayala Market Market,Ayala Market Market - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2287
Ayala Solenad,Ayala Solenad - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2547
Ayala UPTC,Ayala UPTC - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2425
Ayala Vermosa,Ayala Vermosa - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2428
BF Homes,BF Homes - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2217
CTTM Tomas Morato,CTTM Tomas Morato - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2526
D'verde Laguna,D'verde Laguna - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2766
Ever Commonwealth,Ever Commonwealth - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2281
Festival Mall Alabang,Festival Mall Alabang - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2222
Lucky Chinatown,Lucky Chinatown - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2311
Megawide PITX,Megawide PITX - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2179
Megaworld Paseo Center,Megaworld Paseo Center - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2177
Megaworld Venice Grand Canal,Megaworld Venice Grand Canal - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2216
Robinson General Trias,Robinson General Trias - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2430
Robinson Imus,Robinson Imus - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2408
Robinsons Antipolo,Robinsons Antipolo - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2342
Robinsons Galleria South,Robisons Galleria South - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2515
SJDM,SJDM - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2481
SM Bicutan,SM Bicutan - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2412
SM Caloocan,SM Caloocan - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2464
SM Clark,SM Clark - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2646
SM East Ortigas,SM East Ortigas - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2184
SM Grand Central,SM Grand Central - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2218
SM Mall Of Asia,SM Mall Of Asia - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2219
SM Manila,SM  Manila - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2339
SM Marikina,SM Marikina - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2317
SM Marilao,SM Marilao - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2413
SM Megamall,SM Megamall - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2338
SM North EDSA,SM North EDSA - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2284
SM Pulilan,SM Pulilan - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2478
SM Sangandaan,SM Sangandaan - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2482
SM Southmall,SM Southmall - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2340
SM Sta. Rosa,SM Sta. Rosa - BKI,Bebang Kitchen Inc.,2774
SM Tanza,SM Tanza - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2411
SM Taytay,SM Taytay - BKI,Bebang Kitchen Inc.,2812
SM Valenzuela,SM Valenzuela - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2341
Sta. Lucia East Grand Mall,Sta. Lucia East Grand Mall - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2558
The Grid - Rockwell,The Grid - Rockwell - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2250
The Terminal,The Terminal - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2319
Up Town Mall BGC,Up Town Mall BGC - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2548
Vista Mall Taguig,Vista Mall Taguig - Bebang Enterprise Inc.,Bebang Enterprise Inc.,2556
TEST-STORE-BGC,TEST-STORE-BGC - BEI,Bebang Enterprise Inc.,2548
TEST-STORE-MAKATI,TEST-STORE-MAKATI - BEI,Bebang Enterprise Inc.,2177
