id,severity,table,store_name,business_date,metric,expected,actual,delta,hypothesis,remediation,disposition
S171-D001,HIGH,pos_orders,ALL,2026-03-09..2026-04-07,channel_classification,POS,NULL,5785,"service_type_id=91 + service_channel_id=NULL rows have channel=NULL but _CHANNEL_MAP says these should be 'POS' (QSR pickup). Impacts revenue dashboards because channel='POS' aggregations exclude these rows.","Backfill SQL UPDATE: SET channel='POS' WHERE service_type_id=91 AND channel IS NULL. Patch sync_pos_to_supabase._resolve_channel() to default to 'POS' when service_type_id IN (17,91) AND channel IS NULL. Fix is in S172 scope.",DEFERRED_S172
S171-D002,HIGH,pos_orders,ALL,2026-03-09..2026-04-07,channel_classification,Delivery_or_aggregator,NULL,1409,"service_type_id=3 (Delivery) + service_channel_id=NULL rows have channel=NULL. Should be 'Delivery' fallback per _CHANNEL_MAP line 421. These rows are silently dropped from delivery channel revenue.","Backfill SQL UPDATE: SET channel='Delivery' WHERE service_type_id=3 AND service_channel_id IS NULL. Add NOT NULL constraint downstream. Fix is in S172 scope.",DEFERRED_S172
S171-D003,MED,pos_orders,ALL,2026-03-09..2026-04-07,channel_classification,Delivery,FoodPanda,301,"service_type_id=3 + service_channel_id=NULL but channel=FoodPanda — likely a stale write from before _resolve_channel() landed; _resolve_channel() with NULL service_channel_id returns 'Delivery' not 'FoodPanda'. These rows are misattributed to FoodPanda channel.","Re-derive channel from service_channel_id; null service_channel_id with FoodPanda label should be reverted to 'Delivery'. Fix is in S172 scope.",DEFERRED_S172
S171-D004,MED,pos_orders,ALL,2026-03-09..2026-04-07,channel_classification,POS,NULL,28,"service_type_id=17 (QSR Dine-in) + service_channel_id=NULL with channel=NULL. Expected 'POS'.",Same backfill as D001 — extend WHERE to service_type_id IN (17,91).,DEFERRED_S172
S171-D005,MED,web_orders,Estancia,2026-03-09..2026-04-07,tenant_mapping,location_id_resolved,NULL,N/A,"Superadmin store slug 'estancia' has no location_id in data/POS_Extraction/mosaic_tenants.json. Every web order for that store fails to map and is dropped during sync_web_to_supabase.py: map_order().","Add Estancia mall to mosaic_tenants.json with the correct Mosaic location_id. Re-run sync_web_to_supabase.py for the affected window to backfill.",DEFERRED_S172
S171-D006,MED,web_orders,Ortigas Land Greenhills,2026-03-09..2026-04-07,tenant_mapping,location_id_resolved,NULL,N/A,"Superadmin store slug 'ortigaslandgreenhills' has no location_id in mosaic_tenants.json. Same root cause as D005.",Same as D005 — add to mosaic_tenants.json + backfill,DEFERRED_S172
S171-D007,LOW,web_orders,multiple,2026-04-01..2026-04-07,count_parity_per_tuple,exact_match,off_by_few,36,"19 of 212 (location_id, business_date) tuples show a small count delta between Superadmin SoT and Supabase web_orders (8 tuples sup-over, 11 sup-under, total |delta|=36 over 7 days). Most likely cause: in-flight orders not yet synced at probe time, or aggregator delivery_date vs business_date timezone edge cases.","Investigate per-tuple after the next nightly sync_web_to_supabase.py cron to confirm whether deltas resolve. If they persist, deeper investigation of the delivery_date / business_date derivation in map_order().",DEFERRED_S172
S171-D008,MED,web_orders,N/A,2026-04-01..2026-04-07,id_join_key,resolvable,unresolvable,N/A,"Superadmin /api/online-orders returns small int order ids (e.g. 158217) but Supabase web_orders.reference_id stores composite UUID+timestamp strings (e.g. '19a9ce32-575b-461e-8fde-c6ba18550b03-1775033908'). S171 verifier therefore can only assert COUNT parity, not row-level set parity. Without a stable join key, drift detection is shallow.","Either (a) extend Supabase web_orders to also store the Superadmin int order id as a separate column, or (b) document the canonical join key in sync_web_to_supabase.py: map_order() and propagate it through verify_web_orders_sync.py.",DEFERRED_S172
S171-D009,LOW,scripts,N/A,N/A,helper_bug,page_size_<=_100,page_size=200,N/A,"scripts/verify_mosaic_pos_sync.py: mosaic_ids() hardcodes page[size]=200 but Mosaic /api/v1/orders enforces a hard limit of 100. Every call returns HTTP 422. Discovered during S171 Phase 1 — the S169 verify cron has been silently failing with 422 since the API limit was tightened. S171 worked around it with a local mosaic_ids() override in s171_full_parity_audit.py rather than touching the protected S169 surface.","Patch verify_mosaic_pos_sync.py:300 to use page_size=100. ONE-line fix. Owner: S172. Until then the nightly cron is no-op for any cred group with >100 orders/day.",DEFERRED_S172
S171-D010,INFO,pos_orders,ALL,2026-04-01..2026-04-07,count_parity_per_tuple,exact_match,exact_match,0,"All 32 (store, date) tuples in the smoke-test window show PERFECT count parity between Mosaic POS API and Supabase pos_orders. ZERO phantoms, ZERO duplicates, ZERO missing. S169's tombstone path + post-S169 sync stability appear to have fully resolved the regime-shift drift.",None — sync is healthy. Continue nightly verify cron after D009 fix.,RESOLVED
S171-D011,INFO,v_sync_drift_monitor,ALL,2026-03-09..2026-04-08,drift_now,0,0,0,"public.v_sync_drift_monitor created (Phase 9). Returns 360 rows from sync_verification last-30d window. SELECT * FROM v_sync_drift_monitor WHERE drift_now <> 0 returns ZERO rows at sprint close — confirming no current drift.",None — view is the standing BI-friendly drift monitor going forward.,RESOLVED
