Company,ActiveAccounts,Accounts Payable,Accounts Receivable,Bank,Cost of Goods Sold,Equity,Expense,Fixed Asset,Income,Other Current Asset,Other Current Liability
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,117,3,2,3,2,6,29,7,32,19,14
AYALA EVO CITY - BEBANG MEGA INC.,117,3,2,3,2,6,29,7,32,19,14
AYALA FAIRVIEW TERRACES - BEBANG FT INC.,117,3,2,3,2,6,29,7,32,19,14
AYALA MARKET MARKET - BEBANG MARKET MARKET INC.,117,3,2,3,2,6,29,7,32,19,14
AYALA SOLENAD - HFFM SOLENAD FOOD SERVICES INC.,117,3,2,3,2,6,29,7,32,19,14
AYALA UP TOWN CENTER - BEBANG UP TOWN CENTER INC.,117,3,2,3,2,6,29,7,32,19,14
AYALA VERMOSA - BEBANG MEGA INC.,117,3,2,3,2,6,29,7,32,19,14
BEBANG ENTERPRISE INC.,336,3,2,0,1,5,139,0,35,121,30
BEBANG FRANCHISE CORP.,26,0,1,0,0,1,1,0,20,1,2
BEBANG FT INC.,24,0,0,0,0,1,1,0,20,1,1
BEBANG KITCHEN INC.,330,2,3,0,1,5,142,0,29,121,27
BEBANG MEGA INC.,112,1,1,3,2,6,29,7,32,17,14
BF HOMES - BEBANG BF HOMES INC.,117,3,2,3,2,6,29,7,32,19,14
CTTM TOMAS MORATO - B CUBED VENTURES CORP.,117,3,2,3,2,6,29,7,32,19,14
D'VERDE CALAMBA - TAJ FOOD CORP.,117,3,2,3,2,6,29,7,32,19,14
EVER COMMONWEALTH - DLS DESSERT CRAFT INC.,117,3,2,3,2,6,29,7,32,19,14
FESTIVAL MALL ALABANG - BEBANG FESTIVAL INC.,117,3,2,3,2,6,29,7,32,19,14
IRRESISTIBLE INFUSIONS INC.,344,1,1,0,1,5,142,0,45,122,27
LEGACY77 FOOD CORP.,112,1,1,3,2,6,29,7,32,17,14
LUCKY CHINATOWN - BEBANG LCT INC.,117,3,2,3,2,6,29,7,32,19,14
MEGAWIDE PITX - BEBANG PITX INC.,117,3,2,3,2,6,29,7,32,19,14
MEGAWORLD PASEO CENTER - BEBANG PASEO INC.,117,3,2,3,2,6,29,7,32,19,14
MEGAWORLD VENICE GRAND CANAL - BEBANG VENICE GRAND CANAL INC.,117,3,2,3,2,6,29,7,32,19,14
NAIA T3 - HALO-HALO TERMINAL FOOD CORP.,117,3,2,3,2,6,29,7,32,19,14
ORTIGAS ESTANCIA - BB ESTANCIA FOOD CORP.,117,3,2,3,2,6,29,7,32,19,14
ORTIGAS GREENHILLS - BEIFRANCHISE FOOD OPC,90,3,2,3,2,6,29,7,5,19,14
ROBINSONS ANTIPOLO - BEBANG ENTERPRISE INC.,36,3,1,0,0,1,1,0,20,6,4
ROBINSONS GALLERIA SOUTH - TUNGSTEN CAPITAL HOLDINGS OPC,117,3,2,3,2,6,29,7,32,19,14
ROBINSONS GENERAL TRIAS - BEBANG MEGA INC.,117,3,2,3,2,6,29,7,32,19,14
ROBINSONS IMUS - BEBANG MEGA INC.,117,3,2,3,2,6,29,7,32,19,14
ROBINSONS PLACE DASMARINAS - FREEZE DELIGHT INC.,136,4,3,5,4,8,32,7,32,24,17
SM BICUTAN - BEBANG SM BICUTAN INC.,117,3,2,3,2,6,29,7,32,19,14
SM CALOOCAN - TAJ FOOD CORP.,117,3,2,3,2,6,29,7,32,19,14
SM CLARK - RED TALDAWA FOODS OPC,117,3,2,3,2,6,29,7,32,19,14
SM EAST ORTIGAS - BEBANG SMEO INC.,117,3,2,3,2,6,29,7,32,19,14
SM GRAND CENTRAL - BEBANG GRAND CENTRAL INC.,117,3,2,3,2,6,29,7,32,19,14
SM MALL OF ASIA - BEBANG SMOA INC.,117,3,2,3,2,6,29,7,32,19,14
SM MANILA - BEBANG ENTERPRISE INC.,36,3,1,0,0,1,1,0,20,6,4
SM MARIKINA - BEBANG SM MARIKINA INC.,117,3,2,3,2,6,29,7,32,19,14
SM MARILAO - BEBANG MARILAO INC.,117,3,2,3,2,6,29,7,32,19,14
SM MEGAMALL - BEBANG ENTERPRISE INC.,36,3,1,0,0,1,1,0,20,6,4
SM NORTH EDSA - BEBANG NORTH EDSA INC.,117,3,2,3,2,6,29,7,32,19,14
SM PULILAN - BEBANG SMM INC.,117,3,2,3,2,6,29,7,32,19,14
SM SAN JOSE DEL MONTE - JL TRADE OPC,117,3,2,3,2,6,29,7,32,19,14
SM SANGANDAAN - TUNGSTEN CAPITAL HOLDINGS OPC,117,3,2,3,2,6,29,7,32,19,14
SM SOUTHMALL - BEBANG ENTERPRISE INC.,36,3,1,0,0,1,1,0,20,6,4
SM STA. ROSA - SWEET HARMONY FOOD CORP.,117,3,2,3,2,6,29,7,32,19,14
SM TANZA - BEBANG MEGA INC.,117,3,2,3,2,6,29,7,32,19,14
SM TAYTAY - DAY ONES FOOD AND DRINK ESTABLISHMENTS CORP.,117,3,2,3,2,6,29,7,32,19,14
SM VALENZUELA - BEBANG SMV INC.,117,3,2,3,2,6,29,7,32,19,14
STA. LUCIA EAST GRAND MALL - BEBANG SM MARIKINA INC.,117,3,2,3,2,6,29,7,32,19,14
TAJ FOOD CORP.,112,1,1,3,2,6,29,7,32,17,14
THE GRID ROCKWELL - TASTECARTEL CORP.,117,3,2,3,2,6,29,7,32,19,14
THE TERMINAL - BEBANG STARMALL ALABANG INC.,117,3,2,3,2,6,29,7,32,19,14
TUNGSTEN CAPITAL HOLDINGS OPC,112,1,1,3,2,6,29,7,32,17,14
UP TOWN MALL BGC - DMD HOLDINGS INC.,117,3,2,3,2,6,29,7,32,19,14
VISTA MALL TAGUIG - TRICERN FOOD CORP.,117,3,2,3,2,6,29,7,32,19,14
XENTROMALL MONTALBAN - PERPETUAL FOOD CORP.,136,4,3,5,4,8,32,7,32,24,17
